Model,Accuracy,Precision,Recall,F1 Score
Neural Network,0.9903194578896418,0.991869918699187,0.9312977099236641,0.9606299212598425
Random Forest,0.9883833494675702,0.9917355371900827,0.916030534351145,0.9523809523809523
Logistic Regression,0.9796708615682478,0.9508196721311475,0.8854961832061069,0.9169960474308301
Support Vector Machine,0.9777347531461762,0.921875,0.9007633587786259,0.9111969111969112
Decision Tree,0.968054211035818,0.8402777777777778,0.9236641221374046,0.88
Naive Bayes,0.9496611810261375,0.7515923566878981,0.9007633587786259,0.8194444444444444
